RNA_Ext_Coordinate,Sample_ID,order,RNA_Original_concentration,RNA_Dilution_concentration,qPCR_Coordinate,Cq,Plate_Number
A1,2_406,1,3,2,A1,19,2
A2,2_416,2,2,2,A2,20,2
A3,3_100,3,1,2,A3,21,2
A4,2_504,4,2,2,A4,20,2
A5,2_345,5,2,2,A5,20,2
A6,2_60,6,2,2,A6,19,2
A7,2_390,7,4,2,A7,20,2
A8,3_430,8,2,2,A8,21,2
A9,2_56,9,3,2,A9,21,2
A10,2_505,10,3,2,A10,22,2
A11,3_204,11,3,2,A11,22,2
A12,4_267,12,3,2,A12,22,2
B1,3_372,13,NA,2,B1,NA,2
B2,3_399,14,3,2,B2,21,2
B3,2_80,15,3,2,B3,21,2
B4,3_81,16,2,2,B4,21,2
B5,2_382,17,2,2,B5,18,2
B6,2_86,18,1,2,B6,20,2
B7,3_50,19,2,2,B7,20,2
B8,3_480,20,3,2,B8,18,2
B9,2_82,21,1,2,B9,22,2
B10,3_2,22,2,2,B10,14,2
B11,3_374,23,4,2,B11,21,2
B12,4_275,24,2,2,B12,21,2
C1,3_384,25,4,2,C1,20,2
C2,2_98,26,1,2,C2,22,2
C3,2_414,27,2,2,C3,20,2
C4,3_361,28,1,2,C4,22,2
C5,3_530,29,2,2,C5,16,2
C6,2_92,30,NA,2,C6,NA,2
C7,3_67,31,2,2,C7,22,2
C8,4_85,32,2,2,C8,21,2
C9,2_94,33,NA,2,C9,NA,2
C10,3_6,34,NA,2,C10,NA,2
C11,3_411,35,2,2,C11,22,2
C12,4_276,36,1,2,C12,23,2
D1,4_361,37,1,2,D1,22,2
D2,3_432,38,NA,2,D2,NA,2
D3,4_102,39,1,2,D3,23,2
D4,3_424,40,NA,2,D4,NA,2
D5,4_60,41,NA,2,D5,NA,2
D6,2_363,42,1,2,D6,22,2
D7,3_354,43,2,2,D7,22,2
D8,4_95,44,NA,2,D8,NA,2
D9,2_358,45,NA,2,D9,NA,2
D10,3_39,46,1,2,D10,Undetermined,2
D11,3_423,47,2,2,D11,22,2
D12,2_18,48,NA,2,D12,NA,2
E1,4_254,49,1,2,E1,19,2
E2,2_366,50,1,2,E2,21,2
E3,4_234,51,NA,2,E3,NA,2
E4,2_22,52,NA,2,E4,NA,2
E5,4_107,53,NA,2,E5,NA,2
E6,2_371,54,1,2,E6,21,2
E7,3_377,55,1,2,E7,20,2
E8,4_262,56,1,2,E8,22,2
E9,2_404,57,NA,2,E9,NA,2
E10,3_42,58,NA,2,E10,NA,2
E11,4_90,59,1,2,E11,21,2
E12,2_71,60,1,2,E12,16,2
F1,4_269,61,1,2,F1,22,2
F2,3_43,62,1,2,F2,22,2
F3,4_235,63,1,2,F3,22,2
F4,2_51,64,1,2,F4,22,2
F5,4_114,65,NA,2,F5,NA,2
F6,2_372,66,1,2,F6,21,2
F7,3_391,67,NA,2,F7,NA,2
F8,4_462,68,1,2,F8,21,2
F9,2_425,69,NA,2,F9,NA,2
F10,3_54,70,NA,2,F10,NA,2
F11,4_128,71,NA,2,F11,NA,2
F12,2_74,72,1,2,F12,12,2
G1,4_273,73,3,2,G1,20,2
G2,2_52,74,2,2,G2,22,2
G3,4_250,75,1,2,G3,21,2
G4,2_58,76,1,2,G4,21,2
G5,4_257,77,NA,2,G5,NA,2
G6,2_377,78,1,2,G6,21,2
G7,3_407,79,1,2,G7,Undetermined,2
G8,2_38,80,NA,2,G8,NA,2
G9,2_427,81,1,2,G9,22,2
G10,3_86,82,NA,2,G10,NA,2
G11,4_129,83,NA,2,G11,NA,2
G12,2_364,84,NA,2,G12,NA,2
H1,2_83,85,1,2,H1,19,2
H2,2_226,86,NA,2,H2,NA,2
H3,4_280,87,NA,2,H3,NA,2
H4,2_61,88,NA,2,H4,NA,2
H5,4_422,89,NA,2,H5,NA,2
H6,2_388,90,NA,2,H6,NA,2
H7,3_418,91,2,2,H7,Undetermined,2
H8,2_29,92,NA,2,H8,NA,2
H9,2_430,93,NA,2,H9,NA,2
H10,3_89,94,NA,2,H10,NA,2
H11,4_266,95,NA,2,H11,24,2
H12,2_408,96,NA,2,H12,24,2
