RNA_Ext_Coordinate,Sample_ID,order,RNA_Original_concentration,RNA_Dilution_concentration,qPCR_Coordinate,Cq,Plate_Number
A1,2_9,1,4,2,A1,NA,6
A2,3_97,2,6,2,A2,NA,6
A3,4_77,3,4,2,A3,NA,6
A4,3_48,4,6,2,A4,NA,6
A5,2_75,5,4,2,A5,NA,6
A6,2_14,6,3,2,A6,NA,6
A7,4_452,7,1,2,A7,NA,6
A8,2_233,8,1,2,A8,NA,6
A9,3_260,9,NA,2,A9,NA,6
A10,4_112,10,1,2,A10,NA,6
A11,3_429,11,3,2,A11,NA,6
A12,3_69,12,1,2,A12,NA,6
B1,4_125,13,5,2,B1,NA,6
B2,4_261,14,1,2,B2,NA,6
B3,3_356,15,2,2,B3,NA,6
B4,3_477,16,5,2,B4,NA,6
B5,3_20,17,4,2,B5,NA,6
B6,2_349,18,4,2,B6,NA,6
B7,3_14,19,2,2,B7,NA,6
B8,2_564,20,2,2,B8,NA,6
B9,4_87,21,NA,2,B9,NA,6
B10,3_49,22,2,2,B10,NA,6
B11,4_61,23,2,2,B11,NA,6
B12,3_75,24,2,2,B12,NA,6
C1,4_293,25,3,2,C1,NA,6
C2,3_64,26,7,2,C2,NA,6
C3,3_5,27,1,2,C3,NA,6
C4,2_23,28,3,2,C4,NA,6
C5,4_94,29,2,2,C5,NA,6
C6,3_8,30,1,2,C6,NA,6
C7,3_251,31,5,2,C7,NA,6
C8,2_66,32,2,2,C8,NA,6
C9,4_251,33,NA,2,C9,NA,6
C10,4_246,34,1,2,C10,NA,6
C11,4_121,35,2,2,C11,NA,6
C12,4_99,36,2,2,C12,NA,6
D1,3_23,37,7,2,D1,NA,6
D2,4_58,38,3,2,D2,NA,6
D3,4_70,39,2,2,D3,NA,6
D4,2_359,40,3,2,D4,NA,6
D5,3_10,41,3,2,D5,NA,6
D6,3_350,42,2,2,D6,NA,6
D7,4_66,43,4,2,D7,NA,6
D8,2_229,44,3,2,D8,NA,6
D9,4_270,45,NA,2,D9,NA,6
D10,4_126,46,1,2,D10,NA,6
D11,4_404,47,1,2,D11,NA,6
D12,3_433,48,2,2,D12,NA,6
E1,4_127,49,4,2,E1,NA,6
E2,4_232,50,4,2,E2,NA,6
E3,4_282,51,1,2,E3,NA,6
E4,2_36,52,1,2,E4,NA,6
E5,3_351,53,1,2,E5,NA,6
E6,2_76,54,3,2,E6,NA,6
E7,4_86,55,2,2,E7,NA,6
E8,2_400,56,1,2,E8,NA,6
E9,3_368,57,2,2,E9,NA,6
E10,4_237,58,1,2,E10,NA,6
E11,3_77,59,1,2,E11,NA,6
E12,4_62,60,3,2,E12,NA,6
F1,3_406,61,5,2,F1,NA,6
F2,4_325,62,2,2,F2,NA,6
F3,3_394,63,3,2,F3,NA,6
F4,3_40,64,3,2,F4,NA,6
F5,2_46,65,2,2,F5,NA,6
F6,3_66,66,3,2,F6,NA,6
F7,4_168,67,1,2,F7,NA,6
F8,3_17,68,3,2,F8,NA,6
F9,4_118,69,1,2,F9,NA,6
F10,3_55,70,2,2,F10,NA,6
F11,4_101,71,3,2,F11,NA,6
F12,4_236,72,2,2,F12,NA,6
G1,3_500,73,9,2,G1,NA,6
G2,4_73,74,5,2,G2,NA,6
G3,4_278,75,2,2,G3,NA,6
G4,2_19,76,1,2,G4,NA,6
G5,2_379,77,4,2,G5,NA,6
G6,2_357,78,4,2,G6,NA,6
G7,2_227,79,3,2,G7,NA,6
G8,3_378,80,3,2,G8,NA,6
G9,4_244,81,NA,2,G9,NA,6
G10,3_21,82,5,2,G10,NA,6
G11,4_123,83,5,2,G11,NA,6
G12,3_71,84,4,2,G12,NA,6
H1,4_117,85,6,2,H1,NA,6
H2,3_358,86,5,2,H2,NA,6
H3,4_429,87,3,2,H3,NA,6
H4,3_36,88,2,2,H4,NA,6
H5,3_370,89,3,2,H5,NA,6
H6,2_563,90,5,2,H6,NA,6
H7,2_340,NA,2,2,H7,NA,6
H8,4_109,NA,3,2,H8,NA,6
H9,3_375,NA,4,2,H9,NA,6
H10,4_65,NA,6,2,H10,NA,6
H11,4_239,NA,6,2,H11,NA,6
H12,4_59,NA,9,2,H12,NA,6
