RNA_Ext_Coordinate,Sample_ID,order,RNA_Original_concentration,RNA_Dilution_concentration,qPCR_Coordinate,Cq,Plate_Number
A1,2_415,1,1.44,1,A1,19,3
A2,3_363,2,2.22,1,A2,19,3
A3,2_57,3,1.74,1,A3,19,3
A4,3_87,4,NA,1,NA,NA,3
A5,4_103,5,1.66,1,A4,19,3
A6,2_338,6,1.21,1,F12,19,3
A7,3_28,7,0.96,1,A6,19,3
A8,4_89,8,NA,1,NA,NA,3
A9,2_93,9,NA,1,NA,NA,3
A10,3_379,10,NA,1,NA,NA,3
A11,2_32,11,0.96,1,A7,19,3
A12,3_52,12,1.12,1,A8,20,3
B1,2_417,13,NA,1,NA,NA,3
B2,3_428,14,NA,1,NA,NA,3
B3,2_84,15,0.92,1,A9,20,3
B4,3_88,16,0.8,1,A10,22,3
B5,4_247,17,NA,1,NA,NA,3
B6,2_378,18,1.31,1,A11,20,3
B7,3_65,19,NA,1,NA,NA,3
B8,4_91,20,NA,1,NA,NA,3
B9,2_362,21,NA,1,NA,NA,3
B10,3_388,22,0.96,1,A12,19,3
B11,2_33,23,0.96,1,B1,18,3
B12,3_58,24,1.41,1,B2,19,3
C1,3_11,25,1.01,1,B3,20,3
C2,4_63,26,NA,1,NA,NA,3
C3,2_285,27,1.7,1,B4,20,3
C4,3_202,28,NA,1,NA,NA,3
C5,2_40,29,NA,1,NA,NA,3
C6,2_418,30,1.22,1,B5,19,3
C7,3_72,31,NA,1,NA,NA,3
C8,4_100,32,1.04,1,B6,18,3
C9,2_368,33,1.13,1,B7,19,3
C10,3_390,34,0.92,1,B8,19,3
C11,2_73,35,3.39,1,B9,20,3
C12,3_62,36,1.62,1,B10,21,3
D1,3_22,37,1.89,1,B11,20,3
D2,4_88,38,NA,1,NA,NA,3
D3,2_343,39,1.57,1,B12,19,3
D4,3_203,40,NA,1,NA,NA,3
D5,2_59,41,0.92,1,C1,20,3
D6,2_424,42,1,1,C2,19,3
D7,3_244,43,NA,1,NA,NA,3
D8,2_12,44,1.45,1,C3,19,3
D9,2_423,45,0.92,1,C4,20,3
D10,3_402,46,NA,1,NA,NA,3
D11,2_342,47,1.3,1,C5,19,3
D12,3_83,48,2.37,1,C6,18,3
E1,3_30,49,0.92,1,C7,21,3
E2,4_242,50,0.92,1,C8,20,3
E3,2_383,51,NA,1,NA,NA,3
E4,3_206,52,1.2,1,C9,22,3
E5,2_87,53,NA,1,NA,NA,3
E6,2_565,54,1.68,1,C10,21,3
E7,3_386,55,0.84,1,C11,21,3
E8,2_42,56,0.84,1,C12,18,3
E9,2_519,57,2.98,1,D1,19,3
E10,3_434,58,0.96,1,D2,19,3
E11,2_385,59,1.53,1,D3,20,3
E12,3_257,60,2.71,1,D4,19,3
F1,3_56,61,1.44,1,D5,21,3
F2,4_265,62,NA,1,NA,NA,3
F3,2_591,63,1.22,1,D6,19,3
F4,3_415,64,1.06,1,D7,21,3
F5,2_90,65,0.88,1,D8,21,3
F6,2_566,66,3.39,1,D9,21,3
F7,3_419,67,7.12,1,D10,19,3
F8,2_49,68,2.34,1,D11,20,3
F9,3_98,69,1.65,1,D12,19,3
F10,3_546,70,2.06,1,E1,19,3
F11,2_386,71,5.92,1,E2,19,3
F12,3_349,72,2.1,1,E3,21,3
G1,3_90,73,NA,1,NA,NA,3
G2,2_26,74,NA,1,NA,NA,3
G3,3_46,75,1.28,1,E4,19,3
G4,3_553,76,NA,1,NA,NA,3
G5,2_97,77,NA,1,NA,NA,3
G6,3_12,78,0.8,1,E5,19,3
G7,4_67,79,4,1,E6,18,3
G8,2_53,80,1.82,1,E7,19,3
G9,3_259,81,1.92,1,E8,18,3
G10,4_69,82,1.23,1,E9,21,3
G11,2_428,83,2.19,1,E10,19,3
G12,3_353,84,0.88,1,E11,19,3
H1,3_91,85,1.45,1,E12,22,3
H2,2_47,86,1.54,1,F1,19,3
H3,3_59,87,1.53,1,F2,20,3
H4,4_93,88,0.84,1,F3,21,3
H5,2_230,89,1.11,1,F4,19,3
H6,3_24,90,1.06,1,F5,19,3
H7,4_68,91,2.13,1,F6,18,3
H8,2_91,92,0.8,1,F7,19,3
H9,3_357,93,1.49,1,F8,19,3
H10,4_331,94,1.86,1,F9,21,3
H11,3_31,95,5.12,1,F10,19,3
H12,3_369,96,0.88,1,F11,19,3
