RNA_Ext_Coordinate,Sample_ID,order,RNA_Original_concentration,RNA_Dilution_concentration,qPCR_Coordinate,Cq,Plate_Number
A1,4_296,1,NA,2,NA,NA,7
B1,3_431,2,1,2,A1,NA,7
C1,4_97,3,1,2,A2,NA,7
D1,3_400,4,NA,2,NA,NA,7
E1,4_131,5,NA,2,NA,NA,7
F1,4_297,6,NA,2,NA,NA,7
G1,3_33,7,NA,2,NA,NA,7
H1,4_283,8,NA,2,NA,NA,7
A2,3_15,9,NA,2,NA,NA,7
B2,4_279,10,NA,2,NA,NA,7
C2,4_80,11,NA,2,NA,NA,7
D2,4_74,12,NA,2,NA,NA,7
E2,4_286,13,NA,2,NA,NA,7
F2,4_169,14,NA,2,NA,NA,7
G2,3_57,15,NA,2,NA,NA,7
H2,3_552,16,NA,2,NA,NA,7
A3,4_78,17,NA,2,NA,NA,7
B3,3_385,18,NA,2,NA,NA,7
C3,3_13,19,NA,2,NA,NA,7
D3,4_277,20,NA,2,NA,NA,7
E3,4_402,21,2,2,A3,NA,7
F3,3_1922,22,NA,2,NA,NA,7
G3,4_164,23,NA,2,NA,NA,7
H3,2_234,24,2,2,A4,NA,7
A4,2_228,25,NA,2,NA,NA,7
B4,3_34,26,2,2,A5,NA,7
C4,2_20,27,2,2,A6,NA,7
