RNA_Ext_Coordinate,Sample_ID,order,RNA_Original_concentration,RNA_Dilution_concentration,qPCR_Coordinate,Cq,Plate_Number
A1,2_405,1,9,2,A1,21,5
A2,4_264,2,4,2,A2,21,5
A3,3_51,3,5,2,A3,22,5
A4,3_79,4,3,2,A4,23,5
A5,2_562,5,3,2,A5,23,5
A6,4_124,6,2,2,A6,20,5
A7,4_71,7,2,2,A7,22,5
A8,2_77,8,4,2,A8,23,5
A9,4_165,9,2,2,A9,21,5
A10,4_249,10,NA,2,NA,NA,5
A11,3_362,11,2,2,A11,23,5
A12,3_412,12,1,2,A12,20,5
B1,2_422,13,2,2,B1,22,5
B2,4_287,14,2,2,B2,22,5
B3,3_250,15,4,2,B3,23,5
B4,3_68,16,1,2,B4,18,5
B5,2_411,17,1,2,B5,21,5
B6,2_410,18,2,2,B6,20,5
B7,2_10,19,2,2,B7,22,5
B8,2_41,20,1,2,B8,19,5
B9,3_1,21,1,2,B9,21,5
B10,3_387,22,1,2,B10,23,5
B11,4_113,23,4,2,B11,21,5
B12,4_258,24,5,2,B12,20,5
C1,3_78,25,6,2,C1,22,5
C2,4_288,26,5,2,C2,22,5
C3,3_398,27,2,2,C3,24,5
C4,3_26,28,1,2,C4,23,5
C5,3_360,29,1,2,C5,23,5
C6,3_401,30,1,2,C6,24,5
C7,2_346,31,3,2,C7,22,5
C8,2_375,32,2,2,C8,19,5
C9,4_110,33,2,2,C9,23,5
C10,4_115,34,1,2,C10,23,5
C11,4_290,35,2,2,C11,21,5
C12,3_73,36,1,2,C12,18,5
D1,3_201,37,11,2,D1,22,5
D2,4_295,38,2,2,D2,22,5
D3,4_111,39,1,2,D3,23,5
D4,3_219,40,2,2,D4,20,5
D5,2_28,41,NA,2,NA,NA,5
D6,4_122,42,3,2,D6,21,5
D7,2_25,43,1,2,D7,22,5
D8,2_403,44,1,2,D8,19,5
D9,4_167,45,1,2,D9,21,5
D10,4_362,46,4,2,D10,23,5
D11,3_95,47,2,2,D11,21,5
D12,3_408,48,NA,2,NA,NA,5
E1,3_425,49,8,2,E1,21,5
E2,2_17,50,NA,2,NA,NA,5
E3,4_120,51,2,2,E3,23,5
E4,3_414,52,1,2,E4,23,5
E5,4_130,53,1,2,E5,21,5
E6,2_21,54,2,2,E6,22,5
E7,2_361,55,1,2,E7,23,5
E8,3_4,56,2,2,E8,22,5
E9,4_332,57,2,2,E9,21,5
E10,3_27,58,2,2,E10,24,5
E11,3_488,59,3,2,E11,20,5
E12,3_405,60,5,2,E12,19,5
F1,4_76,61,7,2,F1,21,5
F2,2_65,62,1,2,F2,23,5
F3,4_274,63,1,2,F3,23,5
F4,2_369,64,2,2,F4,23,5
F5,3_32,65,3,2,F5,23,5
F6,3_44,66,1,2,F6,22,5
F7,4_381,67,2,2,F7,23,5
F8,4_106,68,1,2,F8,20,5
F9,3_29,69,3,2,F9,20,5
F10,3_367,70,3,2,F10,23,5
F11,4_241,71,NA,2,NA,NA,5
F12,4_64,72,6,2,F12,23,5
G1,4_96,73,4,2,G1,21,5
G2,2_225,74,NA,2,NA,NA,5
G3,3_53,75,NA,2,NA,NA,5
G4,3_376,76,2,2,G4,23,5
G5,4_98,77,5,2,G5,23,5
G6,3_380,78,1,2,G6,22,5
G7,2_24,79,1,2,G7,23,5
G8,3_359,80,2,2,G8,22,5
G9,4_363,81,1,2,G9,21,5
G10,3_392,82,2,2,G10,23,5
G11,4_294,83,8,2,G11,21,5
G12,4_291,84,7,2,G12,23,5
H1,4_166,85,2,2,H1,21,5
H2,2_429,86,2,2,H2,23,5
H3,4_284,87,1,2,H3,23,5
H4,2_355,88,1,2,H4,23,5
H5,3_99,89,1,2,H5,23,5
H6,2_34,90,2,2,H6,22,5
H7,2_3,91,1,2,H7,23,5
H8,3_41,92,2,2,H8,22,5
H9,3_37,93,2,2,H9,21,5
H10,4_116,94,4,2,H10,23,5
H11,4_326,95,4,2,H11,21,5
H12,4_421,96,12,2,H12,23,5
