RNA_Ext_Coordinate,Sample_ID,order,RNA_Original_concentration,RNA_Dilution_concentration,qPCR_Coordinate,Cq,Plate_Number
G9,2_278,81,3,10,A1,24,1
E4,3_85,52,8,10,A10,24,1
G2,2_181,74,9,10,A11,23,1
H10,4_163,94,3,10,A12,25,1
F10,3_137,70,3,10,A2,22,1
H7,4_30,91,4,10,A3,23,1
H11,4_389,95,6,10,A4,21,1
H2,2_215,86,6,10,A5,21,1
A3,2_173,3,3,10,A6,23,1
E8,2_331,56,5,10,A7,23,1
H4,2_585,88,12,10,A8,22,1
G5,3_177,77,5,10,A9,23,1
H9,4_281,93,4,10,B1,27,1
C5,4_75,29,6,10,B10,24,1
C2,3_342,26,8,10,B11,23,1
C8,2_145,32,1,10,B2,22,1
H1,2_43,85,5,10,B3,22,1
F7,2_153,67,2,10,B4,24,1
F9,2_464,69,7,10,B5,22,1
H6,3_395,90,9,10,B6,22,1
C3,2_341,27,3,10,B7,22,1
E2,2_288,50,4,10,B8,22,1
G12,3_208,84,14,10,B9,22,1
C9,2_336,33,5,10,C1,20,1
B3,3_534,15,7,10,C10,24,1
G4,2_524,76,10,10,C11,22,1
B9,3_459,21,3,10,C2,22,1
H3,2_392,87,4,10,C3,22,1
C6,2_307,30,2,10,C4,23,1
A6,2_619,6,4,10,C5,23,1
E1,2_151,49,4,10,C6,22,1
D6,4_150,42,4,10,C7,23,1
B4,3_231,16,6,10,C8,Undetermined,1
D5,3_129,41,6,10,C9,22,1
C11,3_74,35,4,10,D1,21,1
F3,2_453,63,9,10,D10,21,1
F4,3_96,64,11,10,D11,24,1
C10,2_432,34,3,10,D2,22,1
D12,3_297,48,4,10,D3,22,1
D8,2_176,44,3,10,D4,23,1
B6,2_295,18,3,10,D5,23,1
G7,3_597,79,3,10,D6,22,1
D3,3_192,39,4,10,D7,22,1
D2,2_280,38,6,10,D8,20,1
G11,2_614,83,14,10,D9,22,1
G10,2_393,82,2,10,E1,21,1
F2,2_350,62,7,10,E10,22,1
G6,3_327,78,13,10,E11,23,1
E9,2_399,57,3,10,E2,22,1
A4,3_144,4,2,10,E3,23,1
F1,2_146,61,3,10,E4,23,1
D11,3_161,47,7,10,E5,22,1
F8,2_354,68,4,10,E6,22,1
C4,3_19,28,4,10,E7,22,1
D1,2_85,37,5,10,E8,22,1
C1,2_5,25,7,10,E9,21,1
H12,4_172,96,8,10,F1,20,1
D4,3_84,40,7,10,F10,21,1
A2,2_609,2,14,10,F11,21,1
A12,3_236,12,6,10,F2,23,1
F12,3_572,72,4,10,F3,22,1
B7,4_243,19,3,10,F4,23,1
F11,3_288,71,7,10,F5,23,1
E7,2_132,55,4,10,F6,23,1
E5,3_138,53,3,10,F7,23,1
G8,2_81,80,4,10,F8,21,1
F5,3_274,65,7,10,F9,21,1
E12,3_449,60,4,10,G1,22,1
B2,3_322,14,8,10,G10,23,1
B5,2_156,17,10,10,G11,22,1
B12,4_51,24,3,10,G2,22,1
H8,4_81,92,5,10,G3,22,1
A11,3_38,11,6,10,G4,22,1
C7,4_256,31,3,10,G5,22,1
D7,4_400,43,4,10,G6,22,1
A5,2_155,5,5,10,G7,22,1
B8,3_417,20,5,10,G8,20,1
E6,3_403,54,6,10,G9,23,1
D10,2_523,46,3,10,H1,21,1
G3,2_391,75,7,10,H10,22,1
E3,3_234,51,17,10,H11,22,1
H5,3_191,89,4,10,H2,22,1
E11,3_240,59,4,10,H3,21,1
B1,2_217,13,3,10,H4,22,1
G1,2_37,73,4,10,H5,22,1
A8,2_125,8,4,10,H6,22,1
A7,2_55,7,4,10,H7,22,1
F6,3_540,66,5,10,H8,21,1
A1,2_158,1,7,10,H9,21,1
A9,2_317,9,3,10,NA,NA,1
A10,2_398,10,2,10,NA,NA,1
B10,3_585,22,2,10,NA,NA,1
B11,3_396,23,2,10,NA,NA,1
C12,3_268,36,2,10,NA,NA,1
D9,2_374,45,2,10,NA,NA,1
E10,3_63,58,2,10,NA,NA,1
