Names	total	elements
		LOC110051143
		LOC110064402
		LOC110055825
		LOC110066624
		LOC110058803
		LOC110058479
		LOC110056074
		LOC110048560
		LOC110043028
		LOC110040308
		LOC110068997
		LOC110059082
		LOC110058779
		LOC110063730
		LOC110055858
		LOC110051192
		LOC110057904
		LOC110063490
		LOC110069527
		LOC110050828
		LOC110057383
		LOC110063950
		LOC110053701
		LOC110060233
		LOC110062326
res2 res3	2	LOC110069668
		LOC110067499
res2 res4	44	LOC110056850
		LOC110052891
		LOC110064503
		LOC110054371
		LOC110050660
		LOC110054147
		LOC110066436
		LOC110040441
		LOC110043637
		LOC110051193
		LOC110043035
		LOC110057547
		LOC110041727
		LOC110052824
		LOC110056711
		LOC110048391
		LOC110052533
		LOC110043323
		LOC110065103
		LOC110054364
		LOC110048539
		LOC110064052
		LOC110063870
		LOC110056376
		LOC110061589
		LOC110040243
		LOC110066836
		LOC110061335
		LOC110050342
		LOC110045829
		LOC110069143
		LOC110068201
		LOC110060002
		LOC110065112
		LOC110065687
		LOC110049889
		LOC110059406
		LOC110043480
		LOC110053460
		LOC110064941
		LOC110062593
		LOC110063175
		LOC110056894
		LOC110053869
res3 res4	3	LOC110069478
		LOC110063825
		LOC110063428
res1	16	LOC110051433
		LOC110053610
		LOC110063756
		LOC110047450
		LOC110052694
		LOC110047367
		LOC110050619
		LOC110067961
		LOC110040336
		LOC110064592
		LOC110063864
		LOC110065972
		LOC110068991
		LOC110063380
		LOC110060023
		LOC110039662
res2	9	LOC110056657
		LOC110062556
		LOC110062662
		LOC110065968
		LOC110061126
		LOC110067870
		LOC110062817
		LOC110047813
		LOC110053088
res3	15	LOC110056792
		LOC110042644
		LOC110046365
		LOC110040963
		LOC110062461
		LOC110069208
		LOC110045859
		LOC110062618
		LOC110062987
		LOC110069565
		LOC110062643
		LOC110055441
		LOC110042039
		LOC110062310
		LOC110052662
res4	154	LOC110057150
		LOC110041560
		LOC110060588
		LOC110050353
		LOC110057776
		LOC110055875
		LOC110039813
		LOC110044929
		LOC110046335
		LOC110059003
		LOC110056551
		LOC110051644
		LOC110057889
		LOC110054739
		LOC110056708
		LOC110067225
		LOC110067618
		LOC110045257
		LOC110049938
		LOC110053018
		LOC110058955
		LOC110048192
		LOC110042365
		LOC110054551
		LOC110047908
		LOC110064897
		LOC110054902
		LOC110061085
		LOC110039848
		LOC110068594
		LOC110055228
		LOC110065785
		LOC110059617
		LOC110067294
		LOC110065144
		LOC110064832
		LOC110051265
		LOC110061129
		LOC110054839
		LOC110046774
		LOC110060995
		LOC110062256
		LOC110057145
		LOC110043526
		LOC110045603
		LOC110067145
		LOC110040354
		LOC110042711
		LOC110049764
		LOC110063905
		LOC110064737
		LOC110056943
		LOC110052767
		LOC110069209
		LOC110057227
		LOC110044974
		LOC110058967
		LOC110068145
		LOC110057230
		LOC110063755
		LOC110066648
		LOC110068987
		LOC110065162
		LOC110055394
		LOC110041753
		LOC110041551
		LOC110062476
		LOC110049138
		LOC110053805
		LOC110067625
		LOC110069676
		LOC110046428
		LOC110040078
		LOC110045769
		LOC110059166
		LOC110056412
		LOC110047766
		LOC110041239
		LOC110049037
		LOC110051965
		LOC110060844
		LOC110061427
		LOC110057549
		LOC110043343
		LOC110066194
		LOC110056455
		LOC110044960
		LOC110055572
		LOC110069638
		LOC110060120
		LOC110054934
		LOC110044290
		LOC110039846
		LOC110050942
		LOC110055325
		LOC110065836
		LOC110058106
		LOC110060507
		LOC110056436
		LOC110042398
		LOC110039763
		LOC110064317
		LOC110043368
		LOC110065621
		LOC110050242
		LOC110043870
		LOC110063956
		LOC110060533
		LOC110062869
		LOC110068603
		LOC110054247
		LOC110069315
		LOC110044082
		LOC110067343
		LOC110066210
		LOC110040372
		LOC110040934
		LOC110040316
		LOC110046796
		LOC110041897
		LOC110043922
		LOC110041158
		LOC110066663
		LOC110053159
		LOC110042143
		LOC110062882
		LOC110065467
		LOC110067285
		LOC110043365
		LOC110066452
		LOC110056167
		LOC110066206
		LOC110043844
		LOC110039873
		LOC110040575
		LOC110065214
		LOC110041059
		LOC110059581
		LOC110041693
		LOC110064862
		LOC110067434
		LOC110055945
		LOC110057749
		LOC110048046
		LOC110065901
		KEG21_P09
		LOC110040356
		LOC110039926
		LOC110069479
		LOC110055402
		LOC110049219
		LOC110064015
		LOC110054048
		LOC110067976
